Tanggal;Nama Produk;Kategori;Jumlah Unit Terjual;Harga per Unit;Total Pendapatan
01/01/2023;Televisi;Elektronik;10;500;5000
05/01/2023;Jaket;Fashion;5;300;1500
10/02/2023;Kulkas;Elektronik;2;1500;3000
15/02/2023;Kemeja;Fashion;8;200;1600
20/03/2023;Motor;Otomotif;3;1000;3000
25/03/2023;Microwave;Elektronik;4;750;3000
10/04/2023;Celana;Fashion;7;250;1750
15/04/2023;Mobil;Otomotif;6;1200;7200
05/05/2023;AC;Elektronik;5;800;4000
10/05/2023;Rok;Fashion;4;300;1200
01/06/2023;Helm;Otomotif;2;1100;2200
05/06/2023;Komputer;Elektronik;3;950;2850
10/07/2023;Kaos;Fashion;6;350;2100
15/07/2023;Televisi;Elektronik;4;900;3600
05/08/2023;Suku Cadang;Otomotif;1;2000;2000
10/08/2023;Jaket;Fashion;8;275;2200
01/09/2023;Kulkas;Elektronik;5;1000;5000
05/09/2023;Aksesoris;Otomotif;3;1500;4500
10/10/2023;Kemeja;Fashion;7;300;2100
15/10/2023;Microwave;Elektronik;4;1200;4800
01/11/2023;Motor;Otomotif;2;1700;3400
05/11/2023;AC;Elektronik;3;800;2400
01/12/2023;Celana;Fashion;6;400;2400
05/12/2023;Mobil;Otomotif;4;1300;5200
10/01/2023;Komputer;Elektronik;3;700;2100
15/01/2023;Kaos;Fashion;4;400;1600
05/02/2023;Helm;Otomotif;5;1400;7000
20/02/2023;Televisi;Elektronik;2;800;1600
10/03/2023;Jaket;Fashion;6;350;2100
15/03/2023;Suku Cadang;Otomotif;3;900;2700
05/04/2023;Kulkas;Elektronik;4;750;3000
20/04/2023;Kemeja;Fashion;7;320;2240
15/05/2023;Aksesoris;Otomotif;6;1100;6600
20/05/2023;Microwave;Elektronik;5;850;4250
10/06/2023;Rok;Fashion;8;280;2240
15/06/2023;Motor;Otomotif;4;1300;5200
05/07/2023;AC;Elektronik;3;1000;3000
20/07/2023;Celana;Fashion;6;360;2160
01/08/2023;Mobil;Otomotif;2;1500;3000
15/08/2023;Komputer;Elektronik;4;950;3800
10/09/2023;Kaos;Fashion;5;400;2000
15/09/2023;Helm;Otomotif;3;1600;4800
01/10/2023;Televisi;Elektronik;6;1200;7200
05/10/2023;Jaket;Fashion;7;330;2310
10/11/2023;Suku Cadang;Otomotif;8;1400;11200
15/11/2023;Kulkas;Elektronik;5;850;4250
05/12/2023;Kemeja;Fashion;4;300;1200
10/12/2023;Aksesoris;Otomotif;3;1700;5100
15/12/2023;Microwave;Elektronik;2;1500;3000
20/12/2023;Rok;Fashion;6;340;2040
25/12/2023;Mobil;Otomotif;5;1300;6500
01/01/2024;Televisi;Elektronik;8;889;7112
06/01/2024;Microwave;Elektronik;7;1515;10605
11/01/2024;Kulkas;Elektronik;6;1458;8748
16/01/2024;Aksesoris;Otomotif;2;545;1090
21/01/2024;Helm;Otomotif;4;826;3304
26/01/2024;Televisi;Elektronik;1;281;281
31/01/2024;Helm;Otomotif;8;724;5792
05/02/2024;Kemeja;Fashion;7;612;4284
10/02/2024;Komputer;Elektronik;2;274;548
15/02/2024;Celana;Fashion;9;1450;13050
20/02/2024;Microwave;Elektronik;2;272;544
25/02/2024;Aksesoris;Otomotif;2;955;1910
01/03/2024;AC;Elektronik;8;1783;14264
06/03/2024;Motor;Otomotif;6;1752;10512
11/03/2024;Kemeja;Fashion;8;1288;10304
16/03/2024;Aksesoris;Otomotif;5;853;4265
21/03/2024;Motor;Otomotif;6;351;2106
26/03/2024;Mobil;Otomotif;6;288;1728
31/03/2024;AC;Elektronik;6;439;2634
05/04/2024;Celana;Fashion;1;430;430
10/04/2024;Celana;Fashion;3;954;2862
15/04/2024;Microwave;Elektronik;1;1456;1456
20/04/2024;Motor;Otomotif;4;421;1684
25/04/2024;Kulkas;Elektronik;3;932;2796
30/04/2024;Mobil;Otomotif;6;312;1872
05/05/2024;Kulkas;Elektronik;8;1895;15160
10/05/2024;Kulkas;Elektronik;8;1157;9256
15/05/2024;Rok;Fashion;2;1819;3638
20/05/2024;Motor;Otomotif;3;699;2097
25/05/2024;Kaos;Fashion;4;1561;6244
30/05/2024;Mobil;Otomotif;6;1381;8286
04/06/2024;Kulkas;Elektronik;3;1730;5190
09/06/2024;Kemeja;Fashion;3;1676;5028
14/06/2024;Televisi;Elektronik;2;285;570
19/06/2024;Celana;Fashion;1;280;280
24/06/2024;Kemeja;Fashion;3;475;1425
29/06/2024;AC;Elektronik;2;1211;2422
04/07/2024;AC;Elektronik;6;1630;9780
09/07/2024;Suku Cadang;Otomotif;2;863;1726
14/07/2024;Celana;Fashion;6;427;2562
19/07/2024;Kaos;Fashion;8;1578;12624
24/07/2024;Komputer;Elektronik;7;702;4914
29/07/2024;Kaos;Fashion;8;397;3176
03/08/2024;Helm;Otomotif;4;835;3340
08/08/2024;Mobil;Otomotif;7;1372;9604
13/08/2024;Kulkas;Elektronik;9;714;6426
18/08/2024;Kulkas;Elektronik;7;946;6622
23/08/2024;Suku Cadang;Otomotif;3;1298;3894
28/08/2024;Kaos;Fashion;5;1913;9565
02/09/2024;Jaket;Fashion;6;1297;7782
